# x_tcs	y_tcs	z_tcs	x_w2	y_w2	z_w2	angle_w2	x_iscs	y_iscs	z_iscs	angle_iscs
-921.34848	732.94668	137.00000	1079.98520	-24.34516	0.00000	0.30000	1080.00000	-0.00000	0.00000	0.00000
-937.73152	744.41821	137.00000	1099.98492	-24.24044	0.00000	0.30000	1100.00000	-0.00000	0.00000	0.00000
-954.11456	755.88974	137.00000	1119.98465	-24.13572	0.00000	0.30000	1120.00000	-0.00000	0.00000	0.00000
-970.49760	767.36127	137.00000	1139.98437	-24.03100	0.00000	0.30000	1140.00000	-0.00000	0.00000	0.00000
-986.88064	778.83279	137.00000	1159.98410	-23.92628	0.00000	0.30000	1160.00000	-0.00000	0.00000	0.00000
-1003.26368	790.30432	137.00000	1179.98382	-23.82156	0.00000	0.30000	1180.00000	-0.00000	0.00000	0.00000
-1019.64672	801.77585	137.00000	1199.98355	-23.71684	0.00000	0.30000	1200.00000	-0.00000	0.00000	0.00000
-1036.02977	813.24738	137.00000	1219.98328	-23.61212	0.00000	0.30000	1220.00000	-0.00000	0.00000	0.00000
-1052.41281	824.71891	137.00000	1239.98300	-23.50740	0.00000	0.30000	1240.00000	-0.00000	0.00000	0.00000
-1068.79585	836.19044	137.00000	1259.98273	-23.40269	0.00000	0.30000	1260.00000	0.00000	0.00000	0.00000
-1085.17889	847.66197	137.00000	1279.98245	-23.29797	0.00000	0.30000	1280.00000	-0.00000	0.00000	0.00000
-1101.56193	859.13349	137.00000	1299.98218	-23.19325	0.00000	0.30000	1300.00000	-0.00000	0.00000	0.00000
-1117.94497	870.60502	137.00000	1319.98191	-23.08853	0.00000	0.30000	1320.00000	-0.00000	0.00000	0.00000
-1134.32801	882.07655	137.00000	1339.98163	-22.98381	0.00000	0.30000	1340.00000	0.00000	0.00000	0.00000
-1150.71105	893.54808	137.00000	1359.98136	-22.87909	0.00000	0.30000	1360.00000	-0.00000	0.00000	0.00000
-1167.09409	905.01961	137.00000	1379.98108	-22.77437	0.00000	0.30000	1380.00000	-0.00000	0.00000	0.00000
-1183.47713	916.49114	137.00000	1399.98081	-22.66965	0.00000	0.30000	1400.00000	-0.00000	0.00000	0.00000
