# Generated by module: beer.components
# Date:	May 11, 2023, 14:33:31
# Version:	1.9
ID	start	end	length	type	name	w1	w2	h1	h2	ctr1	ctr2	mL	mR	mT	mB	geomH	geomV	mater	comment
MC-102	9345.0	9355.0	10.0	chopper	MCB	20.00	 	73.61	 	18.96	 	 	 	 	 	 	 	 	UPGRADE, modulation, fmax=280 Hz, win=16 x 5 deg
 	9355.0	9365.0	10.0	gap	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
W02-8	9365.0	9860.0	495.0	optics	GCF	20.00	20.00	73.64	74.75	19.03	21.63	4	4	3	3	straight, parallel	flat expanding, on ellipse a:14423, b:40, ctr:15000	Al	chopper guide element
 	9860.0	9870.0	10.0	gap	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
MC-200	9870.0	9880.0	10.0	chopper	MCC	20.00	 	74.78	 	21.71	 	 	 	 	 	 	 	 	UPGRADE, modulation, fmax=280 Hz, win=180 + 7 x 5 deg
 	9880.0	9890.0	10.0	gap	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
W02-9	9890.0	9999.5	109.5	optics	GCG	20.00	20.00	74.81	75.04	21.78	22.36	4	4	3	3	straight, parallel	flat expanding, on ellipse a:14423, b:40, ctr:15000	Al	chopper guide element
 	9999.5	10000.0	0.5	gap	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
W02-10-01	10000.0	11500.0	1500.0	optics	GE1A	20.00	20.00	75.04	77.61	22.36	29.65	3	2.5	3	3	curved, R=-2.000 km, parallel	ellipse(a:14423, b:40, ctr:15000), expanding	Al	NOTE: bent & vertically expanding !
 	11500.0	11501.5	1.5	gap	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 	11501.5	11502.0	0.5	window	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 	11502.0	11505.0	3.0	air	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
BM2	11505.0	11524.0	19.0	monitor	BM2	 	 	 	 	 	 	 	 	 	 	 	 	 	Dimensions unclear; currently h:55; w:55,86
