# Generated with BEERcomponents.py
# Date:	May 14, 2019, 16:48:06
# Version:	1.4
ID	start	end	length	type	name	w1	w2	h1	h2	ctr1	ctr2	mL	mR	mT	mB	geomH	geomV	comment
MCA	9295.0	9305.0	10.0	chopper	MCA	20.00	 	73.49	 	18.69	 	 	 	 	 	 	 	modulation, fmax=280 Hz, win=8 x 4 deg
 	9305.0	9345.0	40.0	gap	 	 	 	 	 	 	 	 	 	 	 	 	 	 
MCB	9345.0	9355.0	10.0	chopper	MCB	20.00	 	73.61	 	18.96	 	 	 	 	 	 	 	UPGRADE, modulation, fmax=280 Hz, win=16 x 4 deg
 	9355.0	9375.0	20.0	gap	 	 	 	 	 	 	 	 	 	 	 	 	 	 
W02-8	9375.0	9825.0	450.0	optics	GCF	20.00	20.00	73.67	74.67	19.09	21.44	4	4	3	3	straight, parallel	flat expanding, on ellipse a:14423, b:40, ctr:15000	chopper guide element
 	9825.0	9870.0	45.0	gap	 	 	 	 	 	 	 	 	 	 	 	 	 	 
MCC	9870.0	9880.0	10.0	chopper	MCC	20.00	 	74.78	 	21.71	 	 	 	 	 	 	 	UPGRADE, modulation, fmax=280 Hz, win=180 + 7 x 4 deg
 	9880.0	9900.0	20.0	gap	 	 	 	 	 	 	 	 	 	 	 	 	 	 
W02-9	9900.0	9986.0	86.0	optics	GCG	20.00	20.00	74.83	75.01	21.84	22.29	4	4	3	3	straight, parallel	flat expanding, on ellipse a:14423, b:40, ctr:15000	chopper guide element
 	9986.0	9987.5	1.5	gap	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 	9987.5	9988.0	0.5	window	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 	9988.0	9998.0	10.0	gap	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 	9998.0	9998.5	0.5	window	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 	9998.5	10000.0	1.5	gap	 	 	 	 	 	 	 	 	 	 	 	 	 	 
W02-10	10000.0	14999.0	4999.0	optics	GE1	20.00	20.00	75.04	80.00	22.36	42.29	3	2.5	3	3	curved, R=-2.000 km, parallel	ellipse(a:14423, b:40, ctr:15000), expanding	NOTE: bent & vertically expanding !
 	14999.0	15000.0	1.0	gap	 	 	 	 	 	 	 	 	 	 	 	 	 	 
W02-11	15000.0	24499.0	9499.0	optics	GN1	20.00	20.00	80.00	80.00	42.29	45.72	3	2.5	2	2	curved, R=-2.000 km, parallel	straight, parallel	 
 	24499.0	24500.0	1.0	gap	 	 	 	 	 	 	 	 	 	 	 	 	 	 
W02-12	24500.0	28198.0	3698.0	optics	GN2	20.00	20.00	80.00	80.00	45.72	34.86	3	2.5	2	2	curved, R=-2.000 km, parallel	straight, parallel	bunker wall insert
 	28198.0	28199.5	1.5	gap	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 	28199.5	28200.0	0.5	window	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 	28200.0	28220.0	20.0	gap	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 	28220.0	28220.5	0.5	window	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 	28220.5	28222.0	1.5	gap	 	 	 	 	 	 	 	 	 	 	 	 	 	 
