# x_tcs	y_tcs	z_tcs	x_w2	y_w2	z_w2	x_iscs	y_iscs	z_iscs
-5115.40695	3669.65803	137.00000	6199.91501	2.46298	0.00000	6200.00000	0.00000	0.00000
-5197.32215	3727.01568	137.00000	6299.91364	2.98657	0.00000	6300.00000	0.00000	0.00000
-5279.23735	3784.37332	137.00000	6399.91227	3.51017	0.00000	6400.00000	0.00000	0.00000
-5361.15256	3841.73096	137.00000	6499.91090	4.03376	0.00000	6500.00000	0.00000	0.00000
-5443.06776	3899.08861	137.00000	6599.90953	4.55736	0.00000	6600.00000	0.00000	0.00000
-5524.98297	3956.44625	137.00000	6699.90816	5.08096	0.00000	6700.00000	0.00000	0.00000
-5606.89817	4013.80389	137.00000	6799.90679	5.60455	0.00000	6800.00000	0.00000	0.00000
-5688.81338	4071.16154	137.00000	6899.90542	6.12815	0.00000	6900.00000	0.00000	0.00000
-5770.72858	4128.51918	137.00000	6999.90405	6.65175	0.00000	7000.00000	0.00000	0.00000
-5852.64379	4185.87683	137.00000	7099.90267	7.17534	0.00000	7100.00000	0.00000	0.00000
-5934.55899	4243.23447	137.00000	7199.90130	7.69894	0.00000	7200.00000	0.00000	0.00000
-6016.47419	4300.59211	137.00000	7299.89993	8.22254	0.00000	7300.00000	0.00000	0.00000
-6098.38940	4357.94976	137.00000	7399.89856	8.74613	0.00000	7400.00000	0.00000	0.00000
-6180.30460	4415.30740	137.00000	7499.89719	9.26973	0.00000	7500.00000	0.00000	0.00000
-6262.21981	4472.66504	137.00000	7599.89582	9.79333	0.00000	7600.00000	0.00000	0.00000
-6344.13501	4530.02269	137.00000	7699.89445	10.31692	0.00000	7700.00000	0.00000	0.00000
-6426.05022	4587.38033	137.00000	7799.89308	10.84052	0.00000	7800.00000	0.00000	0.00000
-6507.96542	4644.73797	137.00000	7899.89171	11.36411	0.00000	7900.00000	0.00000	0.00000
-6589.88063	4702.09562	137.00000	7999.89034	11.88771	0.00000	8000.00000	0.00000	0.00000
-6671.79583	4759.45326	137.00000	8099.88897	12.41131	0.00000	8100.00000	0.00000	0.00000
-6753.71103	4816.81091	137.00000	8199.88760	12.93490	0.00000	8200.00000	0.00000	0.00000
-6835.62624	4874.16855	137.00000	8299.88623	13.45850	0.00000	8300.00000	0.00000	0.00000
-6917.54144	4931.52619	137.00000	8399.88485	13.98210	0.00000	8400.00000	0.00000	0.00000
-6999.45665	4988.88384	137.00000	8499.88348	14.50569	0.00000	8500.00000	0.00000	0.00000
-7081.37185	5046.24148	137.00000	8599.88211	15.02929	0.00000	8600.00000	0.00000	0.00000
-7163.28706	5103.59912	137.00000	8699.88074	15.55289	0.00000	8700.00000	0.00000	0.00000
-7245.20226	5160.95677	137.00000	8799.87937	16.07648	0.00000	8800.00000	0.00000	0.00000
-7327.11747	5218.31441	137.00000	8899.87800	16.60008	0.00000	8900.00000	0.00000	0.00000
-7409.03267	5275.67205	137.00000	8999.87663	17.12367	0.00000	9000.00000	0.00000	0.00000
-7490.94787	5333.02970	137.00000	9099.87526	17.64727	0.00000	9100.00000	0.00000	0.00000
-7572.86308	5390.38734	137.00000	9199.87389	18.17087	0.00000	9200.00000	0.00000	0.00000
-7654.77828	5447.74499	137.00000	9299.87252	18.69446	0.00000	9300.00000	0.00000	0.00000
-7736.69349	5505.10263	137.00000	9399.87115	19.21806	0.00000	9400.00000	0.00000	0.00000
-7818.60869	5562.46027	137.00000	9499.86978	19.74166	0.00000	9500.00000	0.00000	0.00000
-7900.52390	5619.81792	137.00000	9599.86841	20.26525	0.00000	9600.00000	0.00000	0.00000
-7982.43910	5677.17556	137.00000	9699.86703	20.78885	0.00000	9700.00000	0.00000	0.00000
-8064.35431	5734.53320	137.00000	9799.86566	21.31245	0.00000	9800.00000	0.00000	0.00000
-8146.26951	5791.89085	137.00000	9899.86429	21.83604	0.00000	9900.00000	0.00000	0.00000
-8228.18471	5849.24849	137.00000	9999.86292	22.35964	0.00000	10000.00000	0.00000	0.00000
-8310.09848	5906.60818	137.00000	10099.86156	22.88073	0.00000	10100.00000	-0.00250	0.00000
-8392.00939	5963.97197	137.00000	10199.86023	23.39683	0.00000	10200.00000	-0.01000	0.00000
-8473.91742	6021.33985	137.00000	10299.85893	23.90793	0.00000	10300.00000	-0.02250	0.00000
-8555.82259	6078.71183	137.00000	10399.85765	24.41402	0.00000	10400.00000	-0.04000	0.00000
-8637.72489	6136.08791	137.00000	10499.85640	24.91512	0.00000	10500.00000	-0.06250	0.00000
-8719.62432	6193.46808	137.00000	10599.85517	25.41122	0.00000	10600.00000	-0.09000	0.00000
-8801.52088	6250.85234	137.00000	10699.85397	25.90231	0.00000	10700.00000	-0.12250	0.00000
-8883.41458	6308.24070	137.00000	10799.85279	26.38841	0.00000	10800.00000	-0.16000	0.00000
-8965.30540	6365.63316	137.00000	10899.85165	26.86951	0.00000	10900.00000	-0.20250	0.00000
-9047.19336	6423.02972	137.00000	10999.85052	27.34561	0.00000	11000.00000	-0.25000	0.00000
-9129.07846	6480.43036	137.00000	11099.84943	27.81670	0.00000	11100.00000	-0.30250	0.00000
-9210.96068	6537.83511	137.00000	11199.84836	28.28280	0.00000	11200.00000	-0.36000	0.00000
-9292.84004	6595.24395	137.00000	11299.84731	28.74390	0.00000	11300.00000	-0.42250	0.00000
-9374.71652	6652.65689	137.00000	11399.84630	29.19999	0.00000	11400.00000	-0.49000	0.00000
-9456.59014	6710.07392	137.00000	11499.84531	29.65109	0.00000	11500.00000	-0.56250	0.00000
-9538.46090	6767.49505	137.00000	11599.84434	30.09719	0.00000	11600.00000	-0.64000	0.00000
-9620.32878	6824.92027	137.00000	11699.84340	30.53829	0.00000	11700.00000	-0.72250	0.00000
-9702.19380	6882.34959	137.00000	11799.84249	30.97438	0.00000	11800.00000	-0.81000	0.00000
-9784.05595	6939.78300	137.00000	11899.84160	31.40548	0.00000	11900.00000	-0.90250	0.00000
-9865.91523	6997.22052	137.00000	11999.84074	31.83158	0.00000	12000.00000	-1.00000	0.00000
-9947.77164	7054.66212	137.00000	12099.83991	32.25268	0.00000	12100.00000	-1.10250	0.00000
-10029.62518	7112.10783	137.00000	12199.83910	32.66878	0.00000	12200.00000	-1.21000	0.00000
-10111.47586	7169.55762	137.00000	12299.83832	33.07987	0.00000	12300.00000	-1.32250	0.00000
-10193.32367	7227.01152	137.00000	12399.83756	33.48597	0.00000	12400.00000	-1.44000	0.00000
-10275.16861	7284.46951	137.00000	12499.83683	33.88707	0.00000	12500.00000	-1.56250	0.00000
-10357.01069	7341.93159	137.00000	12599.83613	34.28317	0.00000	12600.00000	-1.69000	0.00000
-10438.84989	7399.39777	137.00000	12699.83545	34.67427	0.00000	12700.00000	-1.82250	0.00000
-10520.68623	7456.86805	137.00000	12799.83480	35.06036	0.00000	12800.00000	-1.96000	0.00000
-10602.51970	7514.34242	137.00000	12899.83418	35.44146	0.00000	12900.00000	-2.10250	0.00000
-10684.35030	7571.82089	137.00000	12999.83358	35.81756	0.00000	13000.00000	-2.25000	0.00000
-10766.17803	7629.30346	137.00000	13099.83301	36.18866	0.00000	13100.00000	-2.40250	0.00000
-10848.00290	7686.79012	137.00000	13199.83246	36.55476	0.00000	13200.00000	-2.56000	0.00000
-10929.82490	7744.28087	137.00000	13299.83194	36.91586	0.00000	13300.00000	-2.72250	0.00000
-11011.64403	7801.77572	137.00000	13399.83145	37.27195	0.00000	13400.00000	-2.89000	0.00000
-11093.46029	7859.27467	137.00000	13499.83098	37.62305	0.00000	13500.00000	-3.06250	0.00000
-11175.27369	7916.77771	137.00000	13599.83054	37.96915	0.00000	13600.00000	-3.24000	0.00000
-11257.08421	7974.28485	137.00000	13699.83012	38.31025	0.00000	13700.00000	-3.42250	0.00000
-11338.89187	8031.79609	137.00000	13799.82973	38.64635	0.00000	13800.00000	-3.61000	0.00000
-11420.69666	8089.31142	137.00000	13899.82937	38.97745	0.00000	13900.00000	-3.80250	0.00000
